Calculated input_dim: 8
  - XYZ: 3
  - Color (RGBA): 4
  - Intensity: 1
  - Group IDs: 0
  - Border weights: 0
Using 8 input channels for PointNet2 model
    CornerNet init: total_channels=8, feature_channels=5, border_attention=False, sampling=FPS
Loading checkpoint from: output/checkpoint_epoch_150.pth
Model state loaded from checkpoint.
Optimizer state loaded from checkpoint.
Resuming training from epoch 151 (checkpoint saved at epoch 150).
Checkpoint input_channels: 8
Starting training on cuda
Model input channels: 8
Training samples: 5677
Epoch 155, Batch 50, Total Loss: 0.0050, Focal: 0.0015, Distance: 0.0035, Corners: 755/102400 (0.007)
Epoch 155, Batch 60, Total Loss: 0.0047, Focal: 0.0014, Distance: 0.0032, Corners: 753/102400 (0.007)
Epoch 155, Batch 70, Total Loss: 0.0041, Focal: 0.0012, Distance: 0.0028, Corners: 617/102400 (0.006)
Epoch 155, Batch 80, Total Loss: 0.0032, Focal: 0.0010, Distance: 0.0022, Corners: 511/102400 (0.005)
Epoch 155, Batch 90, Total Loss: 0.0041, Focal: 0.0013, Distance: 0.0028, Corners: 676/102400 (0.007)
Epoch 155, Batch 100, Total Loss: 0.0051, Focal: 0.0015, Distance: 0.0036, Corners: 846/102400 (0.008)
Epoch 155, Batch 110, Total Loss: 0.0039, Focal: 0.0012, Distance: 0.0027, Corners: 585/102400 (0.006)
Epoch 155, Batch 120, Total Loss: 0.0034, Focal: 0.0010, Distance: 0.0023, Corners: 501/102400 (0.005)
Epoch 155, Batch 130, Total Loss: 0.0051, Focal: 0.0015, Distance: 0.0036, Corners: 742/102400 (0.007)
Epoch 155, Batch 140, Total Loss: 0.0041, Focal: 0.0012, Distance: 0.0028, Corners: 658/102400 (0.006)
Epoch 155 completed. Average Loss: 0.0043, Time: 61.58s, Total: 308.51s (5.14min)
Epoch 156, Batch 0, Total Loss: 0.0041, Focal: 0.0013, Distance: 0.0029, Corners: 701/102400 (0.007)
Epoch 156, Batch 10, Total Loss: 0.0030, Focal: 0.0009, Distance: 0.0021, Corners: 492/102400 (0.005)
Epoch 156, Batch 20, Total Loss: 0.0040, Focal: 0.0012, Distance: 0.0028, Corners: 721/102400 (0.007)
Epoch 156, Batch 30, Total Loss: 0.0036, Focal: 0.0011, Distance: 0.0025, Corners: 586/102400 (0.006)
Epoch 156, Batch 40, Total Loss: 0.0039, Focal: 0.0012, Distance: 0.0027, Corners: 640/102400 (0.006)
Epoch 156, Batch 50, Total Loss: 0.0035, Focal: 0.0011, Distance: 0.0024, Corners: 571/102400 (0.006)
Epoch 156, Batch 60, Total Loss: 0.0061, Focal: 0.0018, Distance: 0.0043, Corners: 958/102400 (0.009)
Epoch 156, Batch 70, Total Loss: 0.0038, Focal: 0.0012, Distance: 0.0026, Corners: 583/102400 (0.006)
Epoch 156, Batch 80, Total Loss: 0.0038, Focal: 0.0011, Distance: 0.0026, Corners: 627/102400 (0.006)
Epoch 156, Batch 90, Total Loss: 0.0031, Focal: 0.0010, Distance: 0.0021, Corners: 509/102400 (0.005)
Epoch 156, Batch 100, Total Loss: 0.0048, Focal: 0.0015, Distance: 0.0034, Corners: 739/102400 (0.007)
Epoch 156, Batch 110, Total Loss: 0.0047, Focal: 0.0014, Distance: 0.0033, Corners: 732/102400 (0.007)
Epoch 156, Batch 120, Total Loss: 0.0034, Focal: 0.0010, Distance: 0.0023, Corners: 584/102400 (0.006)
Epoch 156, Batch 130, Total Loss: 0.0040, Focal: 0.0012, Distance: 0.0028, Corners: 665/102400 (0.006)
Epoch 156, Batch 140, Total Loss: 0.0042, Focal: 0.0013, Distance: 0.0029, Corners: 677/102400 (0.007)
Epoch 156 completed. Average Loss: 0.0043, Time: 61.56s, Total: 370.07s (6.17min)
Epoch 157, Batch 0, Total Loss: 0.0058, Focal: 0.0017, Distance: 0.0041, Corners: 899/102400 (0.009)
Epoch 157, Batch 10, Total Loss: 0.0037, Focal: 0.0011, Distance: 0.0026, Corners: 612/102400 (0.006)
Epoch 157, Batch 20, Total Loss: 0.0029, Focal: 0.0009, Distance: 0.0020, Corners: 455/102400 (0.004)
Epoch 157, Batch 30, Total Loss: 0.0047, Focal: 0.0014, Distance: 0.0033, Corners: 640/102400 (0.006)
Epoch 157, Batch 40, Total Loss: 0.0042, Focal: 0.0013, Distance: 0.0029, Corners: 699/102400 (0.007)
Epoch 157, Batch 50, Total Loss: 0.0047, Focal: 0.0014, Distance: 0.0033, Corners: 778/102400 (0.008)
Epoch 157, Batch 60, Total Loss: 0.0036, Focal: 0.0011, Distance: 0.0025, Corners: 536/102400 (0.005)
Epoch 157, Batch 70, Total Loss: 0.0045, Focal: 0.0014, Distance: 0.0031, Corners: 750/102400 (0.007)
Epoch 157, Batch 80, Total Loss: 0.0036, Focal: 0.0011, Distance: 0.0025, Corners: 634/102400 (0.006)
Epoch 157, Batch 90, Total Loss: 0.0041, Focal: 0.0012, Distance: 0.0029, Corners: 633/102400 (0.006)
Epoch 157, Batch 100, Total Loss: 0.0049, Focal: 0.0015, Distance: 0.0034, Corners: 808/102400 (0.008)
Epoch 157, Batch 110, Total Loss: 0.0051, Focal: 0.0015, Distance: 0.0035, Corners: 826/102400 (0.008)
Epoch 157, Batch 120, Total Loss: 0.0041, Focal: 0.0012, Distance: 0.0028, Corners: 617/102400 (0.006)
Epoch 157, Batch 130, Total Loss: 0.0044, Focal: 0.0013, Distance: 0.0031, Corners: 659/102400 (0.006)
Epoch 157, Batch 140, Total Loss: 0.0046, Focal: 0.0014, Distance: 0.0032, Corners: 771/102400 (0.008)
Epoch 157 completed. Average Loss: 0.0043, Time: 61.54s, Total: 431.61s (7.19min)
Epoch 158, Batch 0, Total Loss: 0.0048, Focal: 0.0014, Distance: 0.0033, Corners: 751/102400 (0.007)
Epoch 158, Batch 10, Total Loss: 0.0039, Focal: 0.0012, Distance: 0.0027, Corners: 651/102400 (0.006)
Epoch 158, Batch 20, Total Loss: 0.0050, Focal: 0.0015, Distance: 0.0035, Corners: 782/102400 (0.008)
Epoch 158, Batch 30, Total Loss: 0.0036, Focal: 0.0011, Distance: 0.0025, Corners: 559/102400 (0.005)
Epoch 158, Batch 40, Total Loss: 0.0041, Focal: 0.0013, Distance: 0.0029, Corners: 636/102400 (0.006)
Epoch 158, Batch 50, Total Loss: 0.0041, Focal: 0.0013, Distance: 0.0029, Corners: 663/102400 (0.006)
